Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Year
55573,Unruly Heroes,unruly-heroes,Platform,,PC,Unknown,Magic Design Studios,0.0
55574,Unruly Heroes,unruly-heroes,Platform,,XOne,Unknown,Magic Design Studios,0.0
55584,VA-11 HALL-A,va-11-hall-a,Adventure,,Linux,Unknown,Sukeban Games,0.0
55585,VA-11 HALL-A,va-11-hall-a,Adventure,,OSX,Unknown,Sukeban Games,0.0
55590,Valthirian Arc: Hero School Story,valthirian-arc-hero-school-story,Role-Playing,,PC,Unknown,Agate Studio,0.0
55591,Valthirian Arc: Hero School Story,valthirian-arc-hero-school-story,Role-Playing,,NS,Unknown,Agate Studio,0.0
55597,Vaporum,vaporum,Adventure,,PS4,Unknown,Fatbot Games,0.0
55600,Velocity 2X,velocity-2x,Action,,NS,Unknown,FuturLab,0.0
55611,Virginia,virginia,Adventure,,PC,Unknown,Variable State,0.0
55612,Virginia,virginia,Adventure,,OSX,Unknown,Variable State,0.0
55613,Virginia,virginia,Adventure,,PS4,Unknown,Variable State,0.0
55614,Virginia,virginia,Adventure,,XOne,Unknown,Variable State,0.0
55634,Warframe,warframe,Misc,,NS,Unknown,Digital Extremes,0.0
55640,"Warhammer 40,000: Inquisitor - Martyr","000 inquisitor - martyr""",Action,,PC,Unknown,NeoCoreGames,0.0
55644,"WarioWare, Inc.: Mega MicroGame$"," inc. mega microgame""",Misc,,3DS,Unknown,Nintendo,0.0
55646,Warparty,warparty,Strategy,,PC,Unknown,Crazy Monkey Studios,0.0
55647,Warriors Orochi 4,warriors-orochi-4,Action,,PC,Unknown,Koei Tecmo Games,0.0
55648,Warspear Online,warspear-online,MMO,,PC,Unknown,AIGRIND,0.0
55652,Westerado: Double Barreled,westerado-double-barreled,Action-Adventure,,PC,Unknown,Ostrich Banditos,0.0
55655,White Day: A Labyrinth Named School (2001),white-day-a-labyrinth-named-school-2001,Adventure,,PC,Unknown,Sonnori,0.0
55659,Wild Guns Reloaded,wild-guns-reloaded,Shooter,,PC,Unknown,Natsume Atari,0.0
55664,Wily & Right no RockBoard: That's Paradise,wily-amp-right-no-rockboard-thats-paradise,Board Game,,NES,Unknown,Capcom,0.0
55673,Winter Novel,winter-novel,Visual Novel,,PC,Unknown,DeXP,0.0
55674,Witch & Hero 3,witch-amp-hero-3,Action,,NS,Unknown,CIRCLE Entertainment,0.0
55692,World Gone Sour,world-gone-sour,Platform,,PS3,Unknown,Playbrains,0.0
55693,World Gone Sour,world-gone-sour,Platform,,X360,Unknown,Playbrains,0.0
55694,World Gone Sour,world-gone-sour,Platform,,PC,Unknown,Playbrains,0.0
55714,Wrecked,wrecked,Action,,PC,Unknown,Marco Amadei,0.0
55720,WWE 2K18,wwe-2k18,Sports,,PC,Unknown,"Visual Concepts, Ltd.",0.0
55725,Xeno Crisis,xeno-crisis,Action,,PC,Unknown,Bitmap Bureau,0.0
55726,Xeno Crisis,xeno-crisis,Action,,NS,Unknown,Bitmap Bureau,0.0
55727,Xeno Crisis,xeno-crisis,Action,,DC,Unknown,Bitmap Bureau,0.0
55728,Xeno Crisis,xeno-crisis,Action,,GEN,Unknown,Bitmap Bureau,0.0
55729,Xeno Crisis,xeno-crisis,Action,,NG,Unknown,Bitmap Bureau,0.0
55730,Xeno Crisis,xeno-crisis,Action,,XOne,Unknown,Bitmap Bureau,0.0
55731,Xeno Crisis,xeno-crisis,Action,,PS4,Unknown,Bitmap Bureau,0.0
55745,Xuan Yuan Sword: The Gate of Firmament,xuan-yuan-sword-the-gate-of-firmament,Role-Playing,,PC,Unknown,DOMO Studio,0.0
55751,Year Walk,year-walk,Adventure,,OSX,Unknown,Simogo,0.0
55754,Yesterday Origins,yesterday-origins,Adventure,,NS,Unknown,Pendulo Studios,0.0
55762,Ys Origin,ys-origin,Role-Playing,,XOne,Unknown,Nihon Falcom Corporation,0.0
55766,Yuppie Psycho,yuppie-psycho,Adventure,,NS,Unknown,Baroque Decay,0.0
55767,Yuppie Psycho,yuppie-psycho,Adventure,,XOne,Unknown,Baroque Decay,0.0
55768,Yuppie Psycho,yuppie-psycho,Adventure,,PS4,Unknown,Baroque Decay,0.0
55770,Zarvot,zarvot,Action,,NS,Unknown,Snowhydra Games,0.0
55775,Zombeer,zombeer,Action,M,WiiU,Unknown,Padaone Games,0.0
55792,Falcon Age,falcon-age,Action-Adventure,,PS4,Unknown,Outerloop Games,0.0
1007,Plague Inc: Evolved,plague-inc-evolved,Strategy,,PC,Ndemic Creations,Ndemic Creations,2020.0
2941,Final Fantasy Type-0,final-fantasy-type-0,Role-Playing,RP,PSP,Unknown,Square Enix,2020.0
2942,Raft,raft,Action,,PC,Unknown,Redbeet Interactive,2020.0
3539,Dragon Quest Monsters: Caravan Heart,dragon-quest-monsters-caravan-heart,Role-Playing,,GBA,Unknown,TOSE,2020.0
6811,Imagine: Makeup Artist,imagine-makeup-artist,Simulation,E,DS,Ubisoft,Global A Entertainment,2020.0
7177,Castle Story,castle-story,Misc,,PC,Zono Incorporated,Unknown,2020.0
7178,Trouble In The Manor,trouble-in-the-manor,Action,,PC,Unknown,Charyb Games,2020.0
7538,Tokyo Jungle,tokyo-jungle,Action,T,PS3,Sony Computer Entertainment,PlayStation C.A.M.P.!,2020.0
8244,Lovers in a Dangerous Spacetime,lovers-in-a-dangerous-spacetime,Misc,,PC,Asteroid Base,Unknown,2020.0
9664,Distance,distance,Misc,,PC,Refract Studios,Unknown,2020.0
9828,Hamster Heroes,hamster-heroes,Puzzle,,Wii,Unknown,Data Design Interactive,2020.0
10028,Disgaea 4: A Promise Unforgotten,disgaea-4-a-promise-unforgotten,Misc,,PSV,NIS America,Unknown,2020.0
10236,Kidou Senkan Nadesico,kidou-senkan-nadesico,Strategy,,SAT,Unknown,fupac,2020.0
10483,Black * Rock Shooter: The Game,black-rock-shooter-the-game,Role-Playing,RP,PSP,Unknown,imageepoch Inc.,2020.0
11060,Wasteland 2,wasteland-2,Misc,,PC,inXile Entertainment,Unknown,2020.0
12222,Ridge Racer 2,ridge-racer-2,Racing,,PSP,Unknown,Namco Bandai Games,2020.0
13068,Destroy All Humans! Path of the Furon,destroy-all-humans-path-of-the-furon,Action,T,PS3,Unknown,Sandblast Games,2020.0
15157,Mahjong 3D: Warriors of the Emperor,mahjong-3d-warriors-of-the-emperor,Misc,E,3DS,Unknown,Engine Software,2020.0
16430,Doodle Hex,doodle-hex,Puzzle,,DS,Unknown,Tragnarion Studios,2020.0
16506,Championship Manager Season 01/02,championship-manager-season-01,Sports,,PC,Unknown,Sports Interactive,2020.0
16608,Playmobil Top Agents,playmobil-top-agents,Action,E10,DS,Unknown,Morgen Studios,2020.0
16933,World of Tanks,world-of-tanks,Misc,,X360,Wargaming.net,Unknown,2020.0
17456,Ikki Tousen: Shining Dragon,ikki-tousen-shining-dragon,Role-Playing,,PS2,Unknown,Marvelous,2020.0
18562,Let It Die,let-it-die,Action,,PS4,GungHo,Grasshopper Manufacture,2020.0
18654,Turbo Trainz,turbo-trainz,Racing,E,Wii,Unknown,Broken Switch Studios,2020.0
18805,Mystery Legends: Beauty and the Beast,mystery-legends-beauty-and-the-beast,Misc,,PC,Activision,Unknown,2020.0
18893,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,fujiko-f-fujio-characters-great-assembly-slightly-fantastic-slapstick-party,Action,,3DS,Namco Bandai Games,Namco Bandai Games,2020.0
19829,Jewel Quest 6: The Sapphire Dragon,jewel-quest-6-the-sapphire-dragon,Misc,,PC,THQ,Unknown,2020.0
20074,Fujiko F. Fujio Characters: Great Assembly! Slightly Fantastic Slapstick Party,fujiko-f-fujio-characters-great-assembly-slightly-fantastic-slapstick-party,Action,,WiiU,Namco Bandai Games,Namco Bandai Games,2020.0
20158,Musiic Party: Rock the House,musiic-party-rock-the-house,Misc,T,Wii,Unknown,Independent Arts Software,2020.0
20203,Picture Puzzle Collection: The Dutch Masters,picture-puzzle-collection-the-dutch-masters,Misc,E,DS,Unknown,Most Wanted Entertainment,2020.0
20349,Call of Atlantis,call-of-atlantis,Puzzle,E,DS,Unknown,Foreign Media Games,2020.0
20962,Crazy Taxi 3,crazy-taxi-3,Racing,,PC,Unknown,Hitmaker,2020.0
21381,2 Games in 1: Finding Nemo & The Incredibles,2-games-in-1-finding-nemo-amp-the-incredibles,Action,,GBA,Unknown,Vicarious Visions / Helixe,2020.0
21595,A Boy and His Blob,a-boy-and-his-blob,Action,,DS,Unknown,Skyworks Technologies,2020.0
21764,Ace Attorney: Ryuunosuke Wright's Adventure,ace-attorney-ryuunosuke-wrights-adventure,Misc,,3DS,Capcom,Unknown,2020.0
21770,Ace Combat: Infinity,ace-combat-infinity,Misc,,PS3,Namco Bandai Games,Unknown,2020.0
22029,Afterfall: InSanity,afterfall-insanity,Shooter,RP,X360,TGC,Nicolas Intoxicate,2020.0
22045,Age of Decadence,age-of-decadence,Misc,,PC,Iron Tower Studio,Unknown,2020.0
22069,Agent,agent,Shooter,RP,PS3,Rockstar Games,Rockstar North,2020.0
22591,Amphibian Man,amphibian-man,Role-Playing,,PS3,Unknown,KDV Games,2020.0
22596,AMY,amy,Action,,PC,Lexis Numerique,VectorCell,2020.0
22679,Angry Birds,angry-birds,Puzzle,E,DSiW,Unknown,Chillingo,2020.0
22681,Angry Birds,angry-birds,Puzzle,E,WW,Unknown,Chillingo,2020.0
22707,Angry Video Game Nerd Adventures,angry-video-game-nerd-adventures,Misc,,3DS,Unknown,Unknown,2020.0
22708,Angry Video Game Nerd Adventures,angry-video-game-nerd-adventures,Misc,M,WiiU,Unknown,Freakzone Games,2020.0
22988,Archeage,archeage,Misc,,PC,Trion Worlds,Unknown,2020.0
23452,ATV Wild Ride,atv-wild-ride,Racing,E,DS,Unknown,Renegade Kid,2020.0
23459,Audiosurf Air,audiosurf-air,Misc,,PC,Invisible Handlebar,Unknown,2020.0
23461,Auditorium,auditorium,Puzzle,E,XBL,Unknown,Cipher Prime,2020.0
23728,Bad Day,bad-day,Misc,,OSX,Unknown,Unknown,2020.0
